DATE,PMI_INDEX,COMPETITOR_SOV,REGION
2020-01-06,56.09,0.33,NA
2020-01-13,55.98,0.362,NA
2020-01-20,54.49,0.311,NA
2020-01-27,54.52,0.271,NA
2020-02-03,54.6,0.315,NA
2020-02-10,52.89,0.229,NA
2020-02-17,52.81,0.346,NA
2020-02-24,52.77,0.166,NA
2020-03-02,51.51,0.249,NA
2020-03-09,50.99,0.234,NA
2020-03-16,51.0,0.31,NA
2020-03-23,49.67,0.274,NA
2020-03-30,49.83,0.189,NA
2020-04-06,48.97,0.213,NA
2020-04-13,48.82,0.376,NA
2020-04-20,47.41,0.205,NA
2020-04-27,47.56,0.147,NA
2020-05-04,47.05,0.286,NA
2020-05-11,47.53,0.384,NA
2020-05-18,46.98,0.307,NA
2020-05-25,46.78,0.353,NA
2020-06-01,47.08,0.377,NA
2020-06-08,46.76,0.3,NA
2020-06-15,47.34,0.384,NA
2020-06-22,47.48,0.347,NA
2020-06-29,47.88,0.303,NA
2020-07-06,48.94,0.183,NA
2020-07-13,49.03,0.261,NA
2020-07-20,49.27,0.22,NA
2020-07-27,49.26,0.199,NA
2020-08-03,49.31,0.12,NA
2020-08-10,51.48,0.165,NA
2020-08-17,51.38,0.101,NA
2020-08-24,52.12,0.305,NA
2020-08-31,52.72,0.204,NA
2020-09-07,52.72,0.376,NA
2020-09-14,53.25,0.348,NA
2020-09-21,53.29,0.345,NA
2020-09-28,54.23,0.115,NA
2020-10-05,53.58,0.137,NA
2020-10-12,54.79,0.137,NA
2020-10-19,55.9,0.212,NA
2020-10-26,56.79,0.35,NA
2020-11-02,56.06,0.245,NA
2020-11-09,57.18,0.189,NA
2020-11-16,56.55,0.314,NA
2020-11-23,56.76,0.195,NA
2020-11-30,56.46,0.246,NA
2020-12-07,56.89,0.151,NA
2020-12-14,56.2,0.277,NA
2020-12-21,56.07,0.351,NA
2020-12-28,56.08,0.126,NA
2021-01-04,55.59,0.118,NA
2021-01-11,55.52,0.227,NA
2021-01-18,55.1,0.109,NA
2021-01-25,55.11,0.28,NA
2021-02-01,54.08,0.337,NA
2021-02-08,53.31,0.124,NA
2021-02-15,53.54,0.351,NA
2021-02-22,52.38,0.197,NA
2021-03-01,51.6,0.248,NA
2021-03-08,50.97,0.358,NA
2021-03-15,50.73,0.28,NA
2021-03-22,49.97,0.118,NA
2021-03-29,49.45,0.152,NA
2021-04-05,48.65,0.191,NA
2021-04-12,49.09,0.379,NA
2021-04-19,47.98,0.341,NA
2021-04-26,48.46,0.221,NA
2021-05-03,47.99,0.393,NA
2021-05-10,47.83,0.145,NA
2021-05-17,47.04,0.313,NA
2021-05-24,48.07,0.169,NA
2021-05-31,47.25,0.15,NA
2021-06-07,46.84,0.172,NA
2021-06-14,47.25,0.263,NA
2021-06-21,47.89,0.339,NA
2021-06-28,47.89,0.307,NA
2021-07-05,48.08,0.108,NA
2021-07-12,49.46,0.336,NA
2021-07-19,48.33,0.225,NA
2021-07-26,49.76,0.308,NA
2021-08-02,51.31,0.299,NA
2021-08-09,50.51,0.281,NA
2021-08-16,50.49,0.219,NA
2021-08-23,51.48,0.284,NA
2021-08-30,52.12,0.265,NA
2021-09-06,52.53,0.287,NA
2021-09-13,53.43,0.241,NA
2021-09-20,53.7,0.159,NA
2021-09-27,54.21,0.155,NA
2021-10-04,55.53,0.108,NA
2021-10-11,55.78,0.127,NA
2021-10-18,55.99,0.373,NA
2021-10-25,56.38,0.312,NA
2021-11-01,56.27,0.109,NA
2021-11-08,57.72,0.148,NA
2021-11-15,56.21,0.214,NA
2021-11-22,57.4,0.199,NA
2021-11-29,57.91,0.376,NA
2021-12-06,55.93,0.322,NA
2021-12-13,57.2,0.213,NA
2021-12-20,55.94,0.242,NA
2021-12-27,57.14,0.153,NA
2022-01-03,55.63,0.149,NA
2022-01-10,56.54,0.399,NA
2022-01-17,54.96,0.216,NA
2022-01-24,54.68,0.212,NA
2022-01-31,54.61,0.295,NA
2022-02-07,53.28,0.152,NA
2022-02-14,53.48,0.314,NA
2022-02-21,51.74,0.214,NA
2022-02-28,51.76,0.178,NA
2022-03-07,51.84,0.298,NA
2022-03-14,50.68,0.241,NA
2022-03-21,50.71,0.332,NA
2022-03-28,49.5,0.196,NA
2022-04-04,49.11,0.346,NA
2022-04-11,49.0,0.116,NA
2022-04-18,48.43,0.269,NA
2022-04-25,47.95,0.276,NA
2022-05-02,48.12,0.392,NA
2022-05-09,47.09,0.336,NA
2022-05-16,47.82,0.317,NA
2022-05-23,46.31,0.229,NA
2022-05-30,47.03,0.178,NA
2022-06-06,46.56,0.174,NA
2022-06-13,47.45,0.204,NA
2022-06-20,46.66,0.365,NA
2022-06-27,46.94,0.298,NA
2022-07-04,48.14,0.292,NA
2022-07-11,48.77,0.388,NA
2022-07-18,47.83,0.271,NA
2022-07-25,48.67,0.141,NA
2022-08-01,50.02,0.112,NA
2022-08-08,50.31,0.184,NA
2022-08-15,51.1,0.341,NA
2022-08-22,51.41,0.242,NA
2022-08-29,51.96,0.226,NA
2022-09-05,52.78,0.398,NA
2022-09-12,53.02,0.297,NA
2022-09-19,54.05,0.2,NA
2022-09-26,54.57,0.153,NA
2022-10-03,54.88,0.259,NA
2022-10-10,55.54,0.176,NA
2022-10-17,55.48,0.267,NA
2022-10-24,55.86,0.355,NA
2022-10-31,56.51,0.129,NA
2022-11-07,56.52,0.236,NA
2022-11-14,56.83,0.176,NA
2022-11-21,56.71,0.297,NA
2022-11-28,57.57,0.161,NA
2022-12-05,57.87,0.392,NA
2022-12-12,56.73,0.143,NA
2022-12-19,56.48,0.382,NA
2022-12-26,56.41,0.358,NA
2023-01-02,56.41,0.307,NA
2023-01-09,55.76,0.146,NA
2023-01-16,54.42,0.171,NA
2023-01-23,55.35,0.4,NA
2023-01-30,53.63,0.285,NA
2023-02-06,53.36,0.346,NA
2023-02-13,52.75,0.149,NA
2023-02-20,52.77,0.295,NA
2023-02-27,52.43,0.109,NA
2023-03-06,50.96,0.186,NA
2023-03-13,50.71,0.179,NA
2023-03-20,50.07,0.29,NA
2023-03-27,50.6,0.331,NA
2023-04-03,49.87,0.398,NA
2023-04-10,48.46,0.4,NA
2023-04-17,48.08,0.325,NA
2023-04-24,47.51,0.158,NA
2023-05-01,46.43,0.11,NA
2023-05-08,47.85,0.379,NA
2023-05-15,46.59,0.179,NA
2023-05-22,46.81,0.387,NA
2023-05-29,46.57,0.375,NA
2023-06-05,47.45,0.125,NA
2023-06-12,47.74,0.266,NA
2023-06-19,46.88,0.278,NA
2023-06-26,48.16,0.293,NA
2023-07-03,47.99,0.162,NA
2023-07-10,48.1,0.332,NA
2023-07-17,48.89,0.357,NA
2023-07-24,48.66,0.332,NA
2023-07-31,49.28,0.172,NA
2023-08-07,50.16,0.132,NA
2023-08-14,50.95,0.135,NA
2023-08-21,52.47,0.197,NA
2023-08-28,51.5,0.217,NA
2023-09-04,51.74,0.127,NA
2023-09-11,54.05,0.326,NA
2023-09-18,53.88,0.141,NA
2023-09-25,53.98,0.301,NA
2023-10-02,55.01,0.146,NA
2023-10-09,55.31,0.304,NA
2023-10-16,55.59,0.113,NA
2023-10-23,56.39,0.242,NA
2023-10-30,55.81,0.352,NA
2023-11-06,57.49,0.106,NA
2023-11-13,56.46,0.121,NA
2023-11-20,57.29,0.168,NA
2023-11-27,57.2,0.294,NA
2023-12-04,56.52,0.355,NA
2023-12-11,57.03,0.184,NA
2023-12-18,57.3,0.282,NA
2023-12-25,56.3,0.32,NA
2024-01-01,55.5,0.382,NA
2024-01-08,55.82,0.289,NA
2024-01-15,54.86,0.289,NA
2024-01-22,54.85,0.191,NA
2024-01-29,54.28,0.309,NA
2024-02-05,52.28,0.122,NA
2024-02-12,53.7,0.118,NA
2024-02-19,52.98,0.233,NA
2024-02-26,51.5,0.129,NA
2024-03-04,52.17,0.178,NA
2024-03-11,50.95,0.245,NA
2024-03-18,50.42,0.189,NA
2024-03-25,49.85,0.131,NA
2024-04-01,48.65,0.167,NA
2024-04-08,49.11,0.372,NA
2024-04-15,48.33,0.292,NA
2024-04-22,47.61,0.13,NA
2024-04-29,47.5,0.146,NA
2024-05-06,48.84,0.286,NA
2024-05-13,48.18,0.37,NA
2024-05-20,46.55,0.224,NA
2024-05-27,47.15,0.207,NA
2024-06-03,46.91,0.204,NA
2024-06-10,47.04,0.103,NA
2024-06-17,46.99,0.314,NA
2024-06-24,47.71,0.228,NA
2024-07-01,49.0,0.192,NA
2024-07-08,47.34,0.119,NA
2024-07-15,48.73,0.229,NA
2024-07-22,48.87,0.168,NA
2024-07-29,49.72,0.322,NA
2024-08-05,50.93,0.391,NA
2024-08-12,51.14,0.147,NA
2024-08-19,51.51,0.389,NA
2024-08-26,52.33,0.184,NA
2024-09-02,52.14,0.267,NA
2024-09-09,53.17,0.326,NA
2024-09-16,53.83,0.114,NA
2024-09-23,53.96,0.106,NA
2024-09-30,53.72,0.35,NA
2024-10-07,53.88,0.13,NA
2024-10-14,55.98,0.118,NA
2024-10-21,56.04,0.186,NA
2024-10-28,56.38,0.186,NA
2024-11-04,56.97,0.369,NA
2024-11-11,57.05,0.127,NA
2024-11-18,57.0,0.196,NA
2024-11-25,56.96,0.131,NA
2024-12-02,56.94,0.261,NA
2024-12-09,56.22,0.235,NA
2024-12-16,56.67,0.354,NA
2024-12-23,56.87,0.398,NA
2024-12-30,55.41,0.197,NA
