OPPORTUNITY_ID,ACCOUNT_NAME,LEAD_SOURCE_CAMPAIGN,STAGE,AMOUNT_USD,CREATED_DATE,CLOSE_DATE,BUSINESS_GROUP,REGION
OPP-bdd640fb,Sanchez-Taylor,CMP-100,Closed Lost,244029.94,2024-02-23,2024-03-04,SIBG,NA
OPP-e465e150,"Miller, Henderson and Johnson",CMP-100,Closed Won,177692.83,2024-02-21,2024-03-01,SIBG,NA
OPP-9a1de644,Hoffman Ltd,CMP-100,Closed Lost,211599.88,2024-02-19,2024-03-04,SIBG,NA
OPP-6b65a6a4,Cole LLC,CMP-100,Closed Won,239346.79,2024-02-23,2024-03-05,SIBG,NA
OPP-c241330b,Wolfe LLC,CMP-100,Closed Won,288785.15,2024-02-22,2024-03-04,SIBG,NA
OPP-f50bea63,Garcia-James,CMP-100,Closed Won,224133.82,2024-02-24,2024-03-02,SIBG,NA
OPP-9a8dca03,Roman-Blair,CMP-100,Closed Won,259173.71,2024-02-25,2024-03-10,SIBG,NA
OPP-ec1b8ca1,Miller-Carter,CMP-100,Closed Lost,305237.01,2024-02-22,2024-03-02,SIBG,NA
OPP-dc98d2c1,Ray-Bush,CMP-100,Closed Lost,291379.55,2024-02-20,2024-03-05,SIBG,NA
OPP-c5e7ce8a,Galloway-Wyatt,CMP-100,Closed Won,233287.95,2024-02-23,2024-03-05,SIBG,NA
OPP-47294739,Reid-Diaz,CMP-100,Negotiation,173010.95,2024-02-26,,SIBG,NA
OPP-ab9099a4,Miles-Sutton,CMP-100,Closed Won,214921.45,2024-02-26,2024-03-08,SIBG,NA
OPP-2bcfbe01,"Daniel, Martin and Gray",CMP-100,Closed Lost,201328.19,2024-02-24,2024-03-06,SIBG,NA
OPP-b02b61c4,"Robinson, Nguyen and Tate",CMP-100,Closed Won,200663.04,2024-02-23,2024-03-07,SIBG,NA
OPP-0837b8a3,Morales-Jones,CMP-100,Closed Won,209095.78,2024-02-28,2024-03-13,SIBG,NA
OPP-e059a0ee,"Edwards, Rios and Foster",CMP-100,Closed Won,182720.74,2024-02-22,2024-03-03,SIBG,NA
OPP-24933b83,Taylor-Mcgee,CMP-100,Closed Won,175484.68,2024-02-25,2024-03-08,SIBG,NA
OPP-95a76d79,Hurst-Ross,CMP-100,Closed Won,193613.29,2024-02-27,2024-03-09,SIBG,NA
OPP-2369b584,"Snyder, Campos and Callahan",CMP-100,Closed Won,200466.24,2024-02-28,2024-03-10,SIBG,NA
OPP-cac5b68c,"Henderson, Brown and James",CMP-100,Closed Lost,230614.0,2024-02-23,2024-03-07,SIBG,NA
