INVOICE_ID,BOOKED_REVENUE,PROFIT_CENTER,POSTING_DATE,OPPORTUNITY_ID
INV-b1238d42,177692.83,PC_SIBG_NA,2024-03-05,OPP-e465e150
INV-475e1f4a,239346.79,PC_SIBG_NA,2024-03-08,OPP-6b65a6a4
INV-bf6f7436,288785.15,PC_SIBG_NA,2024-03-16,OPP-c241330b
INV-e8d29cc5,224133.82,PC_SIBG_NA,2024-03-07,OPP-f50bea63
INV-65df6f0c,259173.71,PC_SIBG_NA,2024-03-24,OPP-9a8dca03
INV-8e4dbf7a,233287.95,PC_SIBG_NA,2024-03-11,OPP-c5e7ce8a
INV-b3b04952,214921.45,PC_SIBG_NA,2024-03-13,OPP-ab9099a4
INV-1aee6084,200663.04,PC_SIBG_NA,2024-03-17,OPP-b02b61c4
INV-a658ec01,209095.78,PC_SIBG_NA,2024-03-14,OPP-0837b8a3
INV-e10ca833,182720.74,PC_SIBG_NA,2024-03-08,OPP-e059a0ee
INV-463dc266,175484.68,PC_SIBG_NA,2024-03-18,OPP-24933b83
INV-446e9dd3,193613.29,PC_SIBG_NA,2024-03-14,OPP-95a76d79
INV-9d1220f1,200466.24,PC_SIBG_NA,2024-03-16,OPP-2369b584
INV-f8e65bff,188291.04,PC_SIBG_NA,2024-03-17,OPP-405cacec
INV-1d8953a4,202906.05,PC_SIBG_NA,2024-03-12,OPP-c0398710
INV-8e4925e0,221089.1,PC_SIBG_NA,2024-03-24,OPP-74273ca3
INV-09780a55,204618.39,PC_SIBG_NA,2024-03-19,OPP-d777a477
INV-ea378e3e,180542.14,PC_SIBG_NA,2024-03-17,OPP-c754108f
INV-1b9955d5,210501.25,PC_SIBG_NA,2024-03-18,OPP-a8e56e0c
INV-25a773de,254895.58,PC_SIBG_NA,2024-03-18,OPP-6c52c49f
INV-93936dba,240073.76,PC_SIBG_NA,2024-03-13,OPP-4fcca39a
INV-000534ef,214328.83,PC_SIBG_NA,2024-03-19,OPP-7394988f
INV-f5e18998,175747.89,PC_SIBG_NA,2024-03-16,OPP-8dcdcd03
INV-105037d1,311673.18,PC_SIBG_NA,2024-03-18,OPP-0f1259e0
INV-05583c07,215268.11,PC_SIBG_NA,2024-03-19,OPP-b92da22b
INV-6aabb88c,224968.94,PC_SIBG_NA,2024-03-20,OPP-a748dbcf
INV-4aa9276d,235192.53,PC_SIBG_NA,2024-03-21,OPP-310c0c00
INV-57067f4f,212368.61,PC_SIBG_NA,2024-03-28,OPP-766ecb15
INV-9af150f5,175261.07,PC_SIBG_NA,2024-03-24,OPP-db20a56e
INV-7e964a05,224208.24,PC_SIBG_NA,2024-03-21,OPP-ed2662e9
INV-54829a50,251268.53,PC_SIBG_NA,2024-03-20,OPP-66aa9385
INV-16309fc9,182240.18,PC_SIBG_NA,2024-03-23,OPP-ed3049cf
INV-40b0d305,220414.7,PC_SIBG_NA,2024-03-16,OPP-8e46d534
INV-3910fd1f,230786.65,PC_SIBG_NA,2024-03-24,OPP-bc594585
INV-38e28fa6,217131.55,PC_SIBG_NA,2024-03-24,OPP-da4bd9ca
INV-95b94552,185079.11,PC_SIBG_NA,2024-03-29,OPP-1165e210
INV-e5060e3e,185859.25,PC_SIBG_NA,2024-03-21,OPP-98326856
INV-279be25d,170725.66,PC_SIBG_NA,2024-03-22,OPP-85d51695
INV-5df5b57b,195743.24,PC_SIBG_NA,2024-04-02,OPP-c07a30f2
INV-66c62f4b,202717.6,PC_SIBG_NA,2024-03-24,OPP-19985f15
INV-b60a5368,216214.6,PC_SIBG_NA,2024-04-03,OPP-d5704f32
INV-2acc1304,228544.45,PC_SIBG_NA,2024-03-18,OPP-aaf91531
INV-2a940b39,176994.28,PC_SIBG_NA,2024-03-18,OPP-e3c43657
INV-71d4b1a4,211132.47,PC_SIBG_NA,2024-04-01,OPP-35ebd32d
INV-c348067f,278759.03,PC_SIBG_NA,2024-03-26,OPP-e7c421c7
INV-1833ce4c,289917.35,PC_SIBG_NA,2024-03-23,OPP-00e85ece
INV-f660927c,208754.5,PC_SIBG_NA,2024-03-31,OPP-711c21c9
INV-e5085544,219560.23,PC_SIBG_NA,2024-03-19,OPP-f8e1daa7
INV-db707b39,190687.94,PC_SIBG_NA,2024-03-22,OPP-550a1b46
INV-0166171a,202745.01,PC_SIBG_NA,2024-03-25,OPP-060edf5b
INV-229d9e58,215980.98,PC_SIBG_NA,2024-03-24,OPP-59e4b671
INV-02990103,181290.31,PC_SIBG_NA,2024-04-06,OPP-1d870966
INV-86680246,209284.31,PC_SIBG_NA,2024-04-05,OPP-98b8e4cc
INV-032c931b,224604.1,PC_SIBG_NA,2024-03-27,OPP-82ec9f2d
INV-aa215d36,277495.93,PC_SIBG_NA,2024-04-06,OPP-b572f3d0
INV-fb93eebf,226241.55,PC_SIBG_NA,2024-03-30,OPP-f0b5156b
INV-6e7692e2,208604.09,PC_SIBG_NA,2024-03-31,OPP-5487fd4f
INV-df76ce08,177555.68,PC_SIBG_NA,2024-03-30,OPP-a79ac9aa
INV-f4629df1,223363.59,PC_SIBG_NA,2024-03-31,OPP-cb323e35
INV-eca92075,214163.73,PC_SIBG_NA,2024-04-09,OPP-17e8392a
INV-f2302fc0,160083.89,PC_SIBG_NA,2024-04-04,OPP-0640be0f
INV-7bf0092e,177997.65,PC_SIBG_NA,2024-04-05,OPP-c03f3538
INV-b508dad2,247591.56,PC_SIBG_NA,2024-04-02,OPP-b227462c
INV-2833ecfc,223760.68,PC_SIBG_NA,2024-04-06,OPP-c1581092
INV-21bc4d88,211301.45,PC_SIBG_NA,2024-04-05,OPP-6a34c854
INV-531165b7,167641.21,PC_SIBG_NA,2024-04-03,OPP-6b8e869f
INV-4aed6683,234871.26,PC_SIBG_NA,2024-04-03,OPP-e172b725
INV-962bdfe4,168411.8,PC_SIBG_NA,2024-04-02,OPP-e4429ebb
INV-1285cc42,216432.74,PC_SIBG_NA,2024-04-08,OPP-ab3b4d37
INV-9dedeb57,250248.04,PC_SIBG_NA,2024-04-02,OPP-6db99102
INV-8f6dd19a,230631.99,PC_SIBG_NA,2024-04-12,OPP-53cd6268
INV-03313b73,169240.21,PC_SIBG_NA,2024-04-04,OPP-473bd358
INV-2a06fff3,211397.47,PC_SIBG_NA,2024-04-09,OPP-c1156d6d
INV-81d8f580,176362.2,PC_SIBG_NA,2024-04-10,OPP-37cc863b
INV-338c645b,197855.58,PC_SIBG_NA,2024-04-09,OPP-f6b751f7
INV-4cf0e112,225830.15,PC_SIBG_NA,2024-04-07,OPP-0692dc63
INV-334c3e24,206871.48,PC_SIBG_NA,2024-04-14,OPP-b70b3420
INV-d7bdb4ea,220324.12,PC_SIBG_NA,2024-04-09,OPP-90e0f4a0
INV-60fd375e,207658.71,PC_SIBG_NA,2024-04-15,OPP-8186a576
INV-8ca4be1d,207205.12,PC_SIBG_NA,2024-04-07,OPP-5cb85aed
INV-4972bdd3,183663.21,PC_SIBG_NA,2024-04-12,OPP-f7294951
INV-04d6b908,215607.9,PC_SIBG_LATAM,2021-05-12,OPP-e1b294de
INV-6815dc2e,224773.18,PC_SIBG_LATAM,2021-05-04,OPP-561e16d1
INV-4fb127c0,191515.62,PC_SIBG_LATAM,2021-05-10,OPP-5ad5cf06
INV-110d7132,228899.4,PC_SIBG_LATAM,2021-05-20,OPP-8e485223
INV-7c4234ce,183248.73,PC_SIBG_LATAM,2021-05-14,OPP-680bac63
INV-b1c5d93c,189335.19,PC_SIBG_LATAM,2021-05-06,OPP-7da67785
INV-033cc710,240295.56,PC_SIBG_LATAM,2021-05-16,OPP-6cedd15d
INV-80de5bda,199689.19,PC_SIBG_LATAM,2021-05-11,OPP-1ee34dc4
INV-471e6627,235297.21,PC_SIBG_LATAM,2021-05-11,OPP-c29cfc0c
