DATE,CAMPAIGN_ID,CHANNEL,SPEND_AMT,IMPRESSIONS,CLICKS,VIDEO_VIEWS_50
2024-02-17,CMP-100,Google Ads,256699.49,10267979,280520,1540196
2024-02-18,CMP-100,Google Ads,214018.2,8560728,184570,1284109
2024-02-19,CMP-100,Google Ads,160352.09,6414083,132007,962112
2024-02-20,CMP-100,Google Ads,246450.56,9858022,256418,1478703
2024-02-21,CMP-100,Google Ads,227282.96,9091318,183697,1363697
2024-02-22,CMP-100,Google Ads,259026.65,10361066,293471,1554159
2024-02-23,CMP-100,Google Ads,167182.99,6687319,145905,1003097
2024-02-24,CMP-100,Google Ads,163675.12,6547004,150858,982050
2024-02-25,CMP-100,Google Ads,205058.73,8202349,199476,1230352
2024-02-26,CMP-100,Google Ads,176747.18,7069887,184655,1060483
2024-02-27,CMP-100,Google Ads,158351.64,6334065,145185,950109
2024-02-28,CMP-100,Google Ads,185855.85,7434234,182589,1115135
2024-02-29,CMP-100,Google Ads,236630.55,9465221,208203,1419783
2024-03-01,CMP-100,Google Ads,203783.1,8151324,211316,1222698
2024-03-02,CMP-100,Google Ads,147071.57,5882862,153398,882429
2024-03-03,CMP-100,Google Ads,162113.57,6484542,133909,972681
2024-03-04,CMP-100,Google Ads,256477.78,10259111,304247,1538866
2024-03-05,CMP-100,Google Ads,239445.78,9577831,220732,1436674
2024-03-06,CMP-100,Google Ads,153281.4,6131256,164577,919688
2024-03-07,CMP-100,Google Ads,194801.82,7792072,165350,1168810
2024-03-08,CMP-100,Google Ads,201472.67,8058906,163949,1208835
2024-03-09,CMP-100,Google Ads,251681.13,10067245,227396,1510086
2024-03-10,CMP-100,Google Ads,221760.7,8870427,205058,1330564
2024-03-11,CMP-100,Google Ads,204490.33,8179613,208311,1226941
2024-03-12,CMP-100,Google Ads,163850.9,6554036,194627,983105
2024-03-13,CMP-100,Google Ads,235412.97,9416518,276798,1412477
2024-03-14,CMP-100,Google Ads,249924.07,9996962,259711,1499544
2024-03-15,CMP-100,Google Ads,253203.08,10128123,211525,1519218
2024-03-16,CMP-100,Google Ads,165200.05,6608002,135148,991200
2024-03-17,CMP-100,Google Ads,180881.42,7235256,172826,1085288
2024-03-18,CMP-100,Google Ads,174337.03,6973481,197261,1046022
2024-03-19,CMP-100,Google Ads,184690.97,7387638,168507,1108145
2024-03-20,CMP-100,Google Ads,207233.63,8289345,177468,1243401
2024-03-21,CMP-100,Google Ads,238694.08,9547763,198073,1432164
2024-03-22,CMP-100,Google Ads,261084.86,10443394,289516,1566509
2024-03-23,CMP-100,Google Ads,165531.36,6621254,132790,993188
2021-04-21,CMP-101,LinkedIn,257139.08,3428521,14970,514278
2021-04-22,CMP-101,LinkedIn,265979.69,3546395,11768,531959
2021-04-23,CMP-101,LinkedIn,209322.72,2790969,9448,418645
2021-04-24,CMP-101,LinkedIn,278583.68,3714449,15590,557167
2021-04-25,CMP-101,LinkedIn,205539.08,2740521,9048,411078
2021-04-26,CMP-101,LinkedIn,202805.67,2704075,10059,405611
2021-04-27,CMP-101,LinkedIn,260261.33,3470151,14644,520522
2021-04-28,CMP-101,LinkedIn,281892.66,3758568,14867,563785
2021-04-29,CMP-101,LinkedIn,176537.87,2353838,10218,353075
2021-04-30,CMP-101,LinkedIn,264540.6,3527207,14454,529081
2021-05-01,CMP-101,LinkedIn,265938.08,3545841,14148,531876
2021-05-02,CMP-101,LinkedIn,231868.2,3091575,12007,463736
2021-05-03,CMP-101,LinkedIn,163612.44,2181499,7357,327224
2021-05-04,CMP-101,LinkedIn,164437.32,2192497,9248,328874
2021-05-05,CMP-101,LinkedIn,203268.71,2710249,10878,406537
2021-05-06,CMP-101,LinkedIn,284686.18,3795815,13660,569372
2021-05-07,CMP-101,LinkedIn,216448.3,2885977,12723,432896
2021-05-08,CMP-101,LinkedIn,191525.99,2553679,8486,383051
2021-05-09,CMP-101,LinkedIn,199891.76,2665223,9216,399783
2021-05-10,CMP-101,LinkedIn,287723.66,3836315,17236,575447
2021-05-11,CMP-101,LinkedIn,247057.66,3294102,15134,494115
2021-05-12,CMP-101,LinkedIn,270426.79,3605690,12614,540853
2021-05-13,CMP-101,LinkedIn,282626.42,3768352,15310,565252
2021-05-14,CMP-101,LinkedIn,270943.96,3612586,16739,541887
2021-05-15,CMP-101,LinkedIn,203769.32,2716924,9172,407538
2021-05-16,CMP-101,LinkedIn,191407.54,2552100,9910,382815
2021-05-17,CMP-101,LinkedIn,272395.31,3631937,16623,544790
2021-05-18,CMP-101,LinkedIn,161077.87,2147704,8627,322155
2021-05-19,CMP-101,LinkedIn,217412.89,2898838,10306,434825
2021-05-20,CMP-101,LinkedIn,176575.09,2354334,8805,353150
2021-05-21,CMP-101,LinkedIn,289537.0,3860493,14349,579073
2021-05-22,CMP-101,LinkedIn,231327.13,3084361,13339,462654
2021-05-23,CMP-101,LinkedIn,210031.46,2800419,13315,420062
2021-05-24,CMP-101,LinkedIn,292218.52,3896246,14037,584436
2021-05-25,CMP-101,LinkedIn,228370.5,3044940,11209,456741
2021-05-26,CMP-101,LinkedIn,199217.74,2656236,8656,398435
2021-05-27,CMP-101,LinkedIn,243785.72,3250476,13015,487571
2021-05-28,CMP-101,LinkedIn,167189.1,2229187,8127,334378
2021-05-29,CMP-101,LinkedIn,284782.18,3797095,13606,569564
2021-05-30,CMP-101,LinkedIn,180010.36,2400138,9560,360020
2021-05-31,CMP-101,LinkedIn,295403.12,3938708,14129,590806
2021-06-01,CMP-101,LinkedIn,252373.55,3364980,14868,504747
2021-06-02,CMP-101,LinkedIn,192739.19,2569855,11217,385478
2021-06-03,CMP-101,LinkedIn,210601.52,2808020,11826,421203
2021-06-04,CMP-101,LinkedIn,247074.94,3294332,13365,494149
2021-06-05,CMP-101,LinkedIn,172515.87,2300211,10434,345031
2021-06-06,CMP-101,LinkedIn,204150.4,2722005,9522,408300
2021-06-07,CMP-101,LinkedIn,165720.04,2209600,9159,331440
2021-06-08,CMP-101,LinkedIn,253118.65,3374915,10889,506237
2021-06-09,CMP-101,LinkedIn,230407.9,3072105,10944,460815
2021-06-10,CMP-101,LinkedIn,248672.94,3315639,11535,497345
2021-06-11,CMP-101,LinkedIn,254954.13,3399388,12981,509908
2021-06-12,CMP-101,LinkedIn,288688.84,3849184,13164,577377
2021-06-13,CMP-101,LinkedIn,206934.67,2759128,9330,413869
2021-06-14,CMP-101,LinkedIn,287036.87,3827158,17619,574073
2021-06-15,CMP-101,LinkedIn,195525.9,2607011,11095,391051
2021-06-16,CMP-101,LinkedIn,272286.53,3630487,14842,544573
2021-06-17,CMP-101,LinkedIn,232817.65,3104235,11134,465635
2021-06-18,CMP-101,LinkedIn,172901.95,2305359,10686,345803
2021-06-19,CMP-101,LinkedIn,283705.07,3782734,15936,567410
2021-06-20,CMP-101,LinkedIn,206655.16,2755402,10356,413310
2021-06-21,CMP-101,LinkedIn,259760.3,3463470,16054,519520
2021-07-23,CMP-102,YouTube,172791.72,9599540,50724,1439931
2021-07-24,CMP-102,YouTube,111032.29,6168460,26667,925269
2021-07-25,CMP-102,YouTube,183326.65,10184813,53091,1527721
2021-07-26,CMP-102,YouTube,104379.71,5798872,24372,869830
2021-07-27,CMP-102,YouTube,162461.39,9025632,36193,1353844
2021-07-28,CMP-102,YouTube,117838.0,6546555,33370,981983
2021-07-29,CMP-102,YouTube,164981.83,9165657,48613,1374848
2021-07-30,CMP-102,YouTube,123471.36,6859520,37208,1028928
2021-07-31,CMP-102,YouTube,124623.56,6923531,32199,1038529
2021-08-01,CMP-102,YouTube,169828.26,9434903,49998,1415235
2021-08-02,CMP-102,YouTube,178947.63,9941534,52841,1491230
2021-08-03,CMP-102,YouTube,154011.23,8556179,35827,1283426
2021-08-04,CMP-102,YouTube,136204.9,7566938,34281,1135040
2021-08-05,CMP-102,YouTube,125221.91,6956772,41365,1043515
2021-08-06,CMP-102,YouTube,138458.02,7692112,44491,1153816
2021-08-07,CMP-102,YouTube,159588.56,8866031,49557,1329904
2021-08-08,CMP-102,YouTube,148181.67,8232314,42427,1234847
2021-08-09,CMP-102,YouTube,147283.38,8182410,35924,1227361
2021-08-10,CMP-102,YouTube,167694.33,9316351,42496,1397452
2021-08-11,CMP-102,YouTube,105721.8,5873433,31076,881014
2021-08-12,CMP-102,YouTube,119285.16,6626953,38972,994042
2021-08-13,CMP-102,YouTube,188242.16,10457897,60966,1568684
2021-08-14,CMP-102,YouTube,136421.75,7578986,30550,1136847
2021-08-15,CMP-102,YouTube,185968.79,10331599,50174,1549739
2021-08-16,CMP-102,YouTube,189371.85,10520658,62358,1578098
2021-08-17,CMP-102,YouTube,179283.71,9960206,45706,1494030
2021-08-18,CMP-102,YouTube,137747.87,7652659,43637,1147898
2021-08-19,CMP-102,YouTube,131696.01,7316444,31745,1097466
2021-08-20,CMP-102,YouTube,152989.74,8499430,49911,1274914
2021-08-21,CMP-102,YouTube,165348.86,9186047,47217,1377907
2021-08-22,CMP-102,YouTube,112189.52,6232751,32597,934912
2021-08-23,CMP-102,YouTube,191448.94,10636052,45524,1595407
2021-08-24,CMP-102,YouTube,149574.67,8309704,47820,1246455
2021-08-25,CMP-102,YouTube,169320.26,9406680,50739,1411002
2021-08-26,CMP-102,YouTube,165921.79,9217877,43498,1382681
2021-08-27,CMP-102,YouTube,129625.02,7201390,40462,1080208
2021-08-28,CMP-102,YouTube,175475.89,9748660,55900,1462299
2021-08-29,CMP-102,YouTube,184630.34,10257241,51518,1538586
2021-08-30,CMP-102,YouTube,148082.17,8226787,46041,1234018
2021-08-31,CMP-102,YouTube,161259.66,8958869,48413,1343830
2021-09-01,CMP-102,YouTube,174204.66,9678036,55939,1451705
2021-09-02,CMP-102,YouTube,133566.64,7420368,35255,1113055
2021-09-03,CMP-102,YouTube,111905.94,6216996,32058,932549
2021-09-04,CMP-102,YouTube,106753.85,5930769,29245,889615
2021-09-05,CMP-102,YouTube,151733.08,8429615,38549,1264442
2021-09-06,CMP-102,YouTube,156010.71,8667261,35197,1300089
2021-09-07,CMP-102,YouTube,106878.65,5937702,33519,890655
2021-09-08,CMP-102,YouTube,135536.9,7529827,32032,1129474
2021-09-09,CMP-102,YouTube,149922.08,8329004,46142,1249350
2021-09-10,CMP-102,YouTube,122721.42,6817856,35764,1022678
2021-09-11,CMP-102,YouTube,111139.47,6174415,25335,926162
2021-09-12,CMP-102,YouTube,150730.88,8373937,42550,1256090
2021-09-13,CMP-102,YouTube,160147.03,8897057,48508,1334558
2021-09-14,CMP-102,YouTube,190188.27,10566015,53174,1584902
2021-09-15,CMP-102,YouTube,132231.68,7346204,41068,1101930
2021-09-16,CMP-102,YouTube,127604.69,7089149,34580,1063372
2021-09-17,CMP-102,YouTube,110527.76,6140431,24873,921064
2021-09-18,CMP-102,YouTube,189016.2,10500900,59560,1575135
2021-09-19,CMP-102,YouTube,165343.92,9185773,44256,1377865
2021-09-20,CMP-102,YouTube,118946.39,6608132,28500,991219
2021-09-21,CMP-102,YouTube,125777.0,6987611,35626,1048141
2021-09-22,CMP-102,YouTube,166996.94,9277607,49360,1391641
2021-09-23,CMP-102,YouTube,128412.63,7134034,42160,1070105
2021-09-24,CMP-102,YouTube,169065.34,9392518,47983,1408877
2021-09-25,CMP-102,YouTube,157864.86,8770270,42441,1315540
2021-09-26,CMP-102,YouTube,125554.02,6975223,32866,1046283
2021-09-27,CMP-102,YouTube,170836.2,9490899,38236,1423634
2021-09-28,CMP-102,YouTube,113866.9,6325939,25885,948890
2021-09-29,CMP-102,YouTube,107178.74,5954374,34004,893156
2021-09-30,CMP-102,YouTube,166025.99,9223665,45641,1383549
2021-10-01,CMP-102,YouTube,80177.07,4454281,22196,668142
2021-10-02,CMP-102,YouTube,103994.79,5777488,25111,866623
2021-10-03,CMP-102,YouTube,101482.63,5637923,27045,845688
2021-10-04,CMP-102,YouTube,113022.44,6279024,33091,941853
2021-10-05,CMP-102,YouTube,76846.34,4269241,20275,640386
2021-10-06,CMP-102,YouTube,113657.13,6314284,31611,947142
2021-10-07,CMP-102,YouTube,128280.47,7126692,37895,1069003
2021-10-08,CMP-102,YouTube,84304.83,4683601,19395,702540
2021-10-09,CMP-102,YouTube,114707.09,6372616,25828,955892
2021-10-10,CMP-102,YouTube,111115.54,6173085,36300,925962
2021-10-11,CMP-102,YouTube,110462.36,6136797,29311,920519
2021-03-16,CMP-103,Google Ads,168223.3,6728932,171292,0
2021-03-17,CMP-103,Google Ads,218248.86,8729954,208305,0
2021-03-18,CMP-103,Google Ads,220291.01,8811640,256009,0
2021-03-19,CMP-103,Google Ads,141051.38,5642055,116754,0
2021-03-20,CMP-103,Google Ads,131214.94,5248597,105928,0
2021-03-21,CMP-103,Google Ads,130559.1,5222363,140116,0
2021-03-22,CMP-103,Google Ads,128151.64,5126065,118872,0
2021-03-23,CMP-103,Google Ads,208249.22,8329968,168537,0
2021-03-24,CMP-103,Google Ads,205101.29,8204051,187204,0
2021-03-25,CMP-103,Google Ads,133014.95,5320598,143482,0
2021-03-26,CMP-103,Google Ads,185894.35,7435773,213962,0
2021-03-27,CMP-103,Google Ads,196881.5,7875259,220781,0
2021-03-28,CMP-103,Google Ads,149979.92,5999196,130628,0
2021-03-29,CMP-103,Google Ads,198490.7,7939627,222852,0
2021-03-30,CMP-103,Google Ads,223325.87,8933034,215519,0
2021-03-31,CMP-103,Google Ads,159295.66,6371826,176908,0
